"collab_betweenness","collab_closeness","collab_clustering_coeff","collab_eigen_vector","collab_in_degree","collab_kcore","collab_out_degree","collab_total_degree","issue_key","reporter"
0.19444444444444442,0.2222222222222222,0.0,0.0,2.0,1.0,7.0,9.0,"TIMOB-26981","cwilliams"
0.19444444444444442,0.2222222222222222,0.0,0.0,2.0,1.0,7.0,9.0,"TIMOB-26980","cwilliams"
0.16666666666666666,0.16666666666666666,0.0,0.37796447300922725,1.0,2.0,6.0,7.0,"TIMOB-26979","kota"
0.14285714285714285,0.14285714285714285,0.0,0.3535533905932738,1.0,2.0,7.0,8.0,"TIMOB-26961","kota"
0.19444444444444442,0.2222222222222222,0.0,0.0,2.0,1.0,7.0,9.0,"TIMOB-26957","cwilliams"
0.19367588932806323,0.8695652173913043,0.0,0.5345252929980122,20.0,2.0,5.0,25.0,"TIMOB-26908","hansknoechel"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"TIMOB-26903","fhaque"
0.35000000000000003,0.4,0.0,0.44721541522205843,2.0,2.0,4.0,6.0,"TIMOB-26891","jvennemann"
0.1,0.1,0.0,0.30151134457776363,1.0,2.0,10.0,11.0,"TIMOB-26888","kota"
0.1,0.1,0.0,0.30151134457776363,1.0,2.0,10.0,11.0,"TIMOB-26886","kota"
0.3333333333333333,0.5555555555555556,0.0,0.408250020852063,5.0,2.0,5.0,10.0,"TIMOB-26884","gmathews"
0.35000000000000003,0.4,0.0,0.44721541522205843,2.0,2.0,4.0,6.0,"TIMOB-26879","jvennemann"
0.25,0.75,0.0,0.0,3.0,1.0,1.0,4.0,"TIMOB-26869","eharris"
0.3078947368421053,0.4,0.0,0.40825025194683984,8.0,2.0,15.0,23.0,"TIMOB-26865","jquick"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"TIMOB-26860","mdelmarter"
0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,"TIMOB-26859","kmahalingam"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"TIMOB-26850","aislam"
0.37777777777777777,0.6,0.0,0.5000017709059631,6.0,2.0,6.0,12.0,"TIMOB-26847","gmathews"
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,"TIMOB-26843","jlongton"
0.16666666666666666,0.16666666666666666,0.0,0.37796208599710096,5.0,2.0,30.0,35.0,"TIMOB-26835","smohammed"
0.2,0.8,0.0,0.0,4.0,1.0,1.0,5.0,"TIMOB-26834","topener"
0.30000000000000004,0.6,0.0,0.0,3.0,1.0,2.0,5.0,"TIMOB-26833","eharris"
0.36363636363636365,0.6363636363636364,0.0,0.5000019505508655,7.0,2.0,6.0,13.0,"TIMOB-26826","gmathews"
0.36363636363636365,0.6363636363636364,0.0,0.5000019505508655,7.0,2.0,6.0,13.0,"TIMOB-26824","gmathews"
0.23484848484848486,0.25,0.0,0.3922338591666111,3.0,2.0,11.0,14.0,"TIMOB-26797","kota"
